ID,Name,Age,City
1,Vikram,27,Kochi
3,Frank,26,Mumbai
5,Uma,32,Hyderabad
6,Vikram,32,Hyderabad
7,Kiran,26,Kochi
8,Hannah,36,Bangalore
9,Ibrahim,31,Hyderabad
10,Bob,37,Bangalore
12,Wendy,39,Kolkata
13,Uma,33,Delhi
15,David,27,Bangalore
16,Quinn,40,Kochi
17,Eva,38,Kochi
18,Vikram,39,Delhi
20,Maya,39,Delhi
21,Yara,37,Bangalore
22,Priya,35,Delhi
24,Nikhil,39,Delhi
25,Xavier,28,Pune
26,Zane,38,Hyderabad
29,Liam,27,Chennai
31,Sara,38,Mumbai
33,Jack,40,Delhi
36,Hannah,26,Kolkata
38,Bob,27,Kochi
39,Nikhil,37,Hyderabad
40,Maya,26,Chennai
41,Rahul,37,Bangalore
42,Maya,35,Pune
44,Priya,39,Kolkata
45,David,40,Hyderabad
46,Grace,37,Delhi
48,David,26,Chennai
49,Xavier,35,Pune
50,Frank,34,Bangalore
